Intake Date,Species,Species Class,Age,# of Animals,Date Found,Specific Location,City Found,Cause for Admission,Comments
1/13/14,American Black Duck,Bird,Adult,1,1/12/14,Matunuck Beach Area,South Kingstown,Broken Wing,
8/28/14,American Crow,Bird,Adult,1,8/28/14,Shaws Parking lot,Wakefield,Emaciated,
12/15/14,American Crow,Bird,Adult,1,12/15/14,13 Appleby Street,Newport,Unknown  ,
9/28/14,American Crow,Bird,Adult,1,9/27/14,Maple Avenue,Barrington,Broken Wing,Cmpd Fx
9/3/14,American Crow,Bird,Adult,1,9/2/14,Route 216,Charlestown,Unknown trauma,Possibly hit by car or West Nile
2/16/14,American Crow,Bird,Adult,1,2/16/14,Bayview Drive,Jamestown,Unable to fly,Broken wing
1/9/14,American Crow,Bird,Adult,1,1/9/14,Brickmarketplace,Newport,Broken Wing,
3/7/14,American Crow,Bird,Adult,1,3/7/14,45 Cynthia Drive,North Kingstown,wing injury,Cmpd Fx
3/19/14,American Goldfinch,Bird,Adult,1,3/19/14,24 Stiness Drive,Warwick,Conjunctivitis,
4/14/14,American Goldfinch,Bird,Adult,1,4/14/14,yard 24 Stiness Drive,Warwick,Conjunctivitis,
2/19/14,American Goldfinch,Bird,Adult,1,2/19/14,Point Judith,Point Judith,Head Trauma,
3/6/14,American Goldfinch,Bird,Adult,1,3/6/14,24 Stiness Drive,Warwick,Conjunctivitis,
3/24/14,American Goldfinch,Bird,Adult,1,3/24/14,yard 24 Stiness Drive,Warwick,Conjunctivitis,
3/18/14,American Goldfinch,Bird,Adult,1,3/18/14,yard 155 Wickford Point Road,North Kingstown,Broken Wing,
2/28/14,American Robin,Bird,Adult,1,2/28/14,130 Wood Cove Drive yard,Coventry,Thin/Failing,Emaciated
9/22/14,American Robin,Bird,Adult,1,9/22/14,78 Cedar Island Road,Barrington,Unknown trauma,
2/11/14,American Robin,Bird,Adult,1,2/11/14,First Beach,Newport,Hit by car,
4/25/14,American Robin,Bird,Adult,1,4/25/14,27 Arbor Way,North Kingstown,Unknown trauma,
9/3/14,American Robin,Bird,Adult,1,9/3/14,Yard 70 Woonasquatucket Avenue,North Providence,Unknown trauma,
4/29/14,American Robin,Bird,Adult,1,4/29/14,106 Duck Cove Road,Wickford,Unknown trauma,
3/7/14,American Robin,Bird,Adult,1,3/7/14,Ministerial Road,South Kingstown,Hit by car,
4/17/14,American Robin,Bird,Adult,1,4/17/14,Custer Street,Warwick,Unknown trauma,
4/13/14,American Robin,Bird,Adult,1,4/13/14,67 Hillside ,Saunderstown,Unknown trauma,
4/24/14,American Robin,Bird,Adult,1,4/24/14,26 Carpenter Court,West Warwick,Severe emaciation,
6/22/14,American Robin,Bird,Adult,1,6/22/14,106 Shady Hill Drive,West Warwick,Injured,window strike
4/1/14,American Robin,Bird,Adult,1,4/1/14,Cohanicut Yacht Club,Jamestown,Unknown trauma,
1/25/14,American Robin,Bird,Adult,1,1/24/14,,,Injured,
5/22/14,American Robin,Bird,Adult,1,5/22/14,,Coventry,Injured,Fractured wing
7/10/14,American Robin,Bird,Adult,1,7/9/14,Back yard 33 Hollins Drive,Cranston,Unknown trauma,
7/1/14,American Robin,Bird,Adult,1,7/1/14,Slocum Woods,East Greenwich,Unknown trauma,
7/7/14,American Robin,Bird,Adult,1,7/7/14,19 Coolridge Avenue,Greenville,Leg injury,Leg was stuck in stockade fence
3/1/14,American Robin,Bird,Adult,1,3/1/14,Braman Street,Newport,Hit by car,
9/4/14,American Robin,Bird,Adult,1,9/4/14,1105 Tower Hill Road,North Kingstown,Unknown trauma,
3/7/14,American Robin,Bird,Adult,1,3/7/14,Valley Road,Middletown,Window Strike,Back/Beak injury
4/26/14,American Robin,Bird,Adult,1,4/26/14,Roger Williams Park Zoo,Providence,Leg Caught in tree by fishing line,
6/17/14,American Robin,Bird,Adult,1,6/17/14,Exeter Road,,Hit by car,
10/15/14,American Robin,Bird,Adult,1,10/15/14,44 Coin Street,Warwick,Hit by car,
1/26/14,American Robin,Bird,Adult,1,1/26/14,557 Pleasant Street,Pawtucket,Head Trauma,Flew into truck
7/15/14,American Robin,Bird,Adult,1,7/15/14,Corner of Elm & Hospital Street,Providence,Unknown trauma,Broken wing
5/27/14,American Robin,Bird,Adult,1,5/27/14,,Cranston,Wing injury,
11/9/14,American Robin,Bird,Adult,1,11/9/14,In yard,Cranston,Cat attack,
5/27/14,American Robin,Bird,Adult,1,5/27/14,,Warwick,Injured,
5/31/14,American Robin,Bird,Adult,1,5/31/14,Route 1A by Rite Aid,Narragansett,HBC,Stunned
4/5/14,American Robin,Bird,Adult,1,4/5/14,144 Lilac Avenue,Woonsocket,Possibly hit by car,
7/9/14,American Robin,Bird,Adult,1,7/9/14,1 Williams Road,Smithfield,Flew into a window,
5/22/14,American Robin,Bird,Adult,1,5/22/14,136 Seaconnet Blvd,Portsmouth,Injured,
3/7/14,American Robin,Bird,Adult,1,3/7/14,111 Edgewood Farm Rd,Wakefield,thin/emaciated,
3/4/14,American Woodcock,Bird,Adult,1,3/4/14,Route 108 South,Narragansett,Hit by car,
3/24/14,American Woodcock,Bird,Adult,1,3/24/14,2 Coddington Highway,Newport,Hit by car,
6/14/14,American Woodcock,Bird,Adult,1,6/14/14,Lincoln Mall,Lincoln,Unknown trauma,"Ruptured eye, fractured shoulder"
4/1/14,American Woodcock,Bird,Adult,1,4/1/14,50 Kennedy Plaza,Providence,Window Strike,
5/20/14,Baltimore Oriole,Bird,Adult,1,5/19/14,"Dino's Market, Route 44",,Injured,Fractured leg
7/3/14,Baltimore Oriole,Bird,Adult,1,7/3/14,Pawtucket,Pawtucket,Unknown trauma,Neurological
2/18/14,Barn Owl,Bird,Adult,1,2/18/14,736 East Main Road,Middletown,Thin/Failing,
9/7/14,Barred Owl,Bird,Adult,1,9/7/14,54 Mill Bridge Road,"Eastford, CT",Unknown trauma,found in yard under tree
11/25/14,Barred Owl,Bird,Adult,1,11/25/14,19 Albert Avenue,Johnston,Unknown Trauma,Fx wing   
10/22/14,Barred Owl,Bird,Adult,1,10/21/14,North Road,Foster,Hit by car,Mangled wing
12/15/14,Barred Owl,Bird,Adult,1,12/16/14,"Route 6, Foster",Foster,Hit by car,Fx Wing - compound
9/20/14,Barred Owl,Bird,Adult,1,9/20/14,tree at 130 Washington Lake Drive,Glocester,Stuck in tree,fx hip
2/22/14,Barred Owl,Bird,Adult,1,2/22/14,Shore Acres,North Kingstown,Hit by car,Broken wing
5/11/14,Barred Owl,Bird,Adult,1,5/10/14,"Route 1, Green Hill area",,HBC,Broken Hip
11/8/14,Barred Owl,Bird,Adult,1,11/8/14,Plain Meeting House Road,West Greenwich,Stuck in fishing line,
