Intake Date,Species,Species Class,Age,# of Animals,Date Found,Specific Location,City Found,Cause for Admission,Comments
8/20/19,American Bull Frog,Amphibian,Young Adult,1,08/18/19,Trail,Barrington,"Back injury, no improvement in leg condition",
8/29/19,American Bull Frog,Amphibian,Juvenile,1,8/29/19,Finder's address,Warwick,FX leg,
7/26/19,American Toad,Amphibian,Adult,1,07/25/19,Finder's address,Foster,"Dog stepped on toad. L leg broken, losing circulation",
8/7/19,American Toad,Amphibian,Adult,1,08/07/19,King Preserve,Saunderstown,Throat and foot cut due to weed wacker,
12/19/19,Spotted Salamander,Amphibian,Adult,1,12/19/19,Finder's address,Exeter,No injury. Disturbed brumation,
11/17/19,Wood Frog,Amphibian,Young Adult,1,11/11/19,Finder's address,Charlestown,No injury. Found in bucket/cold weather,
12/9/19,American Bald Eagle,Bird,Sub-adult,1,12/09/19,200 Shippee Platt Rd,Coventry,Suspect lead/back injury,
9/7/19,American Bittern,Bird,Adult,1,09/07/19,7 Conant Ave,Narragansett,"FX R wing, exposed bone",
10/16/19,American Bittern,Bird,Adult,1,10/16/19,82 Warren aVe,Middletown,FX leg,
10/29/19,American Coot,Bird,Adult,1,10/28/19,"2nd Beach, near stop sign",Middletown,FX legs,
3/5/19,American Crow,Bird,Adult,1,3/5/19,Fitchbury City Landfill,"Westminstrer, MA","FX L wrist, possibly shot",
6/6/19,American Crow,Bird,Juvenile,1,06/05/19,Finder's address,West Warwick,Orphaned juvenile,
6/10/19,American Crow,Bird,Juvenile,1,06/10/19,Finder's address,Coventry,Wing injury,
7/7/19,American Crow,Bird,Young Adult,1,07/07/19,Broad Rock Rd,South Kingstown,"HBC, back injury/leg, dislocated L leg",
7/10/19,American Crow,Bird,Juvenile,1,07/10/19,44 Taplow St,Warwick,"Unable to take flight, hopping around yard",
7/30/19,American Crow,Bird,Adult,1,07/30/19,242 Main Rd,Tiverton,"Possible leg or wing, failing, blind, internal trauma",
8/4/19,American Crow,Bird,Adult,1,08/03/19,Rte 24,Portsmouth,"HBC, broken leg (bone exposed)",
8/5/19,American Crow,Bird,Adult,1,08/05/19,Finder's address,Warwick,FX R elbow,
8/17/19,American Crow,Bird,Adult,1,08/17/19,Corner of Pitman ST and Butler Ave,Providence,Possible West Nile ,
8/22/19,American Crow,Bird,Adult,1,08/22/19,Unknown,Coventry,Possible West Nile,
8/25/19,American Crow,Bird,Adult,1,8/25/19,4159 Old Post Rd,Charlestown,"Unknown, not flying",
8/28/19,American Crow,Bird,Adult,1,8/28/19,Burlingame State Park,Charlestown,Broken legs,
9/6/19,American Crow,Bird,Adult,1,09/06/19,84 narragansett Ave W,Wakefield,Dislocated L shoulder,
9/14/19,American Crow,Bird,Adult,1,09/14/19,"Rt 4, near Tower Hill",,Grazed by car while eating a squirrel,
9/23/19,American Crow,Bird,Adult,1,09/23/19,Finder's address,Westerly,Injury,
9/27/19,American Crow,Bird,Adult,1,09/27/19,Maine Rd,Little Compton,Likely car strike,
9/4/19,American Goldfinch,Bird,Juvenile,1,09/03/19,Finder's address,North Kingstown,R head tilt,
9/13/19,American Goldfinch,Bird,Juvenile,3,09/13/19,Finder's address,North Providence,Orphaned juvenile,
9/22/19,American Goldfinch,Bird,Juvenile,1,09/22/19,URI Quad,Wakefield,"Fell from tree. No improvement, neuro, not using legs well. Orphaned juvenile",
12/1/19,American Goldfinch,Bird,Adult,1,11/30/19,Finder's address,Barrington,"Sick, conjunctivitis",
12/23/19,American Goldfinch,Bird,Adult,1,12/22/19,Finder's address,North Kingstown,"Broken leg, neuro",
12/24/19,American Goldfinch,Bird,Sub-adult,1,12/23/19,Palm Blvd,Warwick,Possible window strike,
4/17/19,American Goldfinch ,Bird,Adult,1,04/17/19,Canonchet Preserves,Hopkinton,Wing FX,
8/9/19,American Goldfinch ,Bird,Adult,1,08/08/19,Finder's address,Riverside,"Wing injured, FX leg",
8/12/19,American Goldfinch ,Bird,Juvenile,1,08/12/19,Near Mohegan Bluffs,Block Island,N/A,
10/7/19,American Goldfinch ,Bird,Young Adult,1,10/06/19,Finder's address,West Greenwich,"Possible window strike, sl. back injury",
10/14/19,American Goldfinch ,Bird,Young Adult,1,10/14/19,Johnson & Wales campus,Providence,"Both legs useless, unable to walk, stand grasp.",
12/1/19,American Goldfinch ,Bird,Adult,1,12/01/19,Finder's address,North Kingstown,R wing broken,
12/15/19,American Goldfinch ,Bird,Adult,1,12/15/19,3335 Post Rd,Warwick,"Neuro, on back",
1/11/19,American Robin,Bird,Adult,1,01/11/19,"RWP Zoo, 1000 Elmwood Avenue",Providence,R shoulder dislocated,
2/12/19,American Robin,Bird,Adult,1,02/12/19,Finder's address,Cranston,"Possible HBC, swollen possible dislocated L shoulder",
3/2/19,American Robin,Bird,Adult,1,03/02/19,Newport Animal Hospital,Middletown,"Possible back injury, rolling, no improvement",
3/8/19,American Robin,Bird,Adult,1,03/08/19,Finder's address,Saunderstown,"Not flying, dying shortly after intake",
3/29/19,American Robin,Bird,Adult,1,03/29/19,Finder's address,Johnston,Broken wing,
4/15/19,American Robin,Bird,Young Adult,1,04/15/19,Finder's address,Warwick,"Eye injury, aspirated on blood, agonal breathing",
4/24/19,American Robin,Bird,Adult,1,04/24/19,Finder's address,Warwick,Broken R wing,
4/24/19,American Robin,Bird,Adult,1,04/24/19,1 Mohawk Drive,"Attleboro, MA",Fishing line wrapped around leg,
5/1/19,American Robin,Bird,Juvenile,1,05/01/19,Finder's address,West Warwick,Can't fly,
5/1/19,American Robin,Bird,Baby,1,05/21/19,Finder's address,Coventry,Orphaned juvenile,
5/2/19,American Robin,Bird,Adult,1,05/02/19,Finder's address,Warwick,"Severe back injury, legs paralyzed",
5/8/19,American Robin,Bird,Baby,1,05/08/19,Roger Williams Botanical Center,Providence,Orphaned juvenile,
5/8/19,American Robin,Bird,Baby,4,05/08/19,Finder's address,Westerly,Orphaned juvenile,
5/13/19,American Robin,Bird,Juvenile,1,05/13/19,Finder's address,Wakefield,Respiratory distress,
5/13/19,American Robin,Bird,Baby,4,05/13/19,Finder's address,Warwick,Fallen nest,
5/13/19,American Robin,Bird,Juvenile,1,05/13/19,1260 Greenwich Avenue,Warwick,Orphaned juvenile,
5/15/19,American Robin,Bird,Baby,1,05/15/19,Finder's address,Bradford,"Fell out of nest, covered in ants when found",
5/16/19,American Robin,Bird,Baby,3,05/16/19,Finder's address,Johnston,Orphaned juvenile,
5/17/19,American Robin,Bird,Juvenile,1,05/16/19,Finder's address,Cranston,FX leg,
5/18/19,American Robin,Bird,Adult,1,05/18/19,East Shore Drive,Coventry,Found in road,
5/20/19,American Robin,Bird,Baby,2,05/19/19,Finder's address,West Warwick,Failing.,
5/22/19,American Robin,Bird,Juvenile,2,05/22/19,181 Tailmight Drive,North Kingstown,Orphaned juvenile,
5/22/19,American Robin,Bird,Juvenile,1,05/22/19,Sand Pond Road,Warwick,Orphaned juvenile,
5/22/19,American Robin,Bird,Juvenile,1,05/21/19,Fire Station Potomomut,Warwick,FX leg,
5/22/19,American Robin,Bird,Baby,1,05/21/19,Birch Hill Drive,Cumberland,Orphaned juvenile,
